Symbol,Company Name
RELIANCE,Reliance Industries Ltd
TCS,Tata Consultancy Services Ltd
INFY,Infosys Ltd
HDFCBANK,HDFC Bank Ltd
ICICIBANK,ICICI Bank Ltd
SBIN,State Bank of India
BHARTIARTL,Bharti Airtel Ltd
ITC,ITC Ltd
LT,Larsen & Toubro Ltd
KOTAKBANK,Kotak Mahindra Bank Ltd
AXISBANK,Axis Bank Ltd
HCLTECH,HCL Technologies Ltd
WIPRO,Wipro Ltd
SUNPHARMA,Sun Pharmaceutical Industries Ltd
DRREDDY,Dr Reddys Laboratories Ltd
TATAMOTORS,Tata Motors Ltd
TATASTEEL,Tata Steel Ltd
MARUTI,Maruti Suzuki India Ltd
BAJFINANCE,Bajaj Finance Ltd
ASIANPAINT,Asian Paints Ltd
JSWENERGY,JSW Energy Ltd
GODFRYPHLP,Godrej Industries Ltd
BEL,Bharat Electronics Ltd
DMART,Avenue Supermarts Ltd
VBL,Varun Beverages Ltd
