Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,838,850,882,914,906,926,955,939,908,892,918,953,994
Expenses+,588,599,618,644,645,674,689,693,701,705,725,731,749
Operating Profit,250,251,264,270,261,252,266,247,208,187,193,222,245
OPM %,30%,30%,30%,30%,29%,27%,28%,26%,23%,21%,21%,23%,25%
Other Income+,26,22,31,35,34,32,64,40,43,38,49,-50,51
Interest,4,4,6,6,5,5,5,5,5,5,4,4,4
Depreciation,21,21,25,25,28,27,27,26,25,24,23,23,23
Profit before tax,250,248,264,274,262,252,299,256,221,196,215,146,268
Tax %,19%,24%,24%,25%,25%,27%,23%,22%,22%,26%,28%,26%,18%
Net Profit+,202,189,200,206,197,184,229,199,172,144,155,109,220
EPS in Rs,32.36,30.32,32.12,33.15,31.62,29.56,36.84,31.95,27.68,23.18,24.85,17.48,35.37
Raw PDF,,,,,,,,,,,,,
