Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,156","3,255","3,303","3,855","4,558","3,723","3,644","4,902","5,663","5,666","5,955","6,289"
Expenses+,"2,781","3,012","2,712","3,173","3,756","3,130","2,980","4,101","4,809","4,777","5,010","5,289"
Operating Profit,375,243,590,681,802,594,664,801,853,889,945,999
OPM %,12%,7%,18%,18%,18%,16%,18%,16%,15%,16%,16%,16%
Other Income+,17,85,12,22,26,27,27,39,45,52,27,63
Interest,94,73,39,37,46,58,26,29,40,32,34,38
Depreciation,116,116,104,112,129,170,180,191,198,213,224,236
Profit before tax,182,139,459,554,652,393,486,621,661,696,715,788
Tax %,28%,10%,26%,30%,30%,17%,25%,26%,24%,24%,24%,25%
Net Profit+,132,125,338,388,459,327,363,462,500,526,542,593
EPS in Rs,6.25,6.00,16.06,18.40,21.77,15.46,17.09,21.74,23.54,24.83,25.66,28.13
Dividend Payout %,28%,36%,28%,25%,23%,27%,27%,30%,37%,28%,28%,28%
