Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,947,701,743,"1,429","3,144","6,519","7,824"
Expenses+,853,648,713,"1,350","2,666","4,738","5,447"
Operating Profit,94,54,30,78,478,"1,781","2,377"
OPM %,10%,8%,4%,5%,15%,27%,30%
Other Income+,19,35,25,36,29,134,207
Interest,35,22,43,69,121,177,158
Depreciation,17,12,28,53,96,498,452
Profit before tax,61,56,-16,-8,289,"1,240","1,973"
Tax %,26%,54%,-8%,72%,20%,24%,23%
Net Profit+,45,26,-14,-13,231,937,"1,510"
EPS in Rs,1.50,0.94,-0.55,-0.49,8.78,20.79,33.33
Dividend Payout %,0%,0%,0%,0%,0%,2%,1%
