Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,914","2,016","1,913","2,493","2,192","2,527","2,170","2,843","2,617","2,965","2,119","3,081","2,536"
Expenses+,"1,762","1,837","1,715","2,286","2,047","2,351","1,993","2,679","2,445","2,806","1,947","2,880","2,328"
Operating Profit,152,178,197,208,144,176,177,164,173,160,173,200,209
OPM %,8%,9%,10%,8%,7%,7%,8%,6%,7%,5%,8%,6%,8%
Other Income+,25,28,23,-155,55,19,19,21,11,24,31,-20,6
Interest,7,21,21,22,22,20,19,16,10,5,14,13,19
Depreciation,19,31,33,34,34,33,33,32,23,26,26,27,25
Profit before tax,150,154,167,-3,144,142,144,137,151,153,164,141,170
Tax %,24%,22%,25%,"1,389%",23%,25%,26%,23%,29%,28%,27%,26%,23%
Net Profit+,114,120,124,-46,110,106,106,105,108,109,120,104,130
EPS in Rs,4.06,4.28,4.43,-1.65,3.94,3.77,3.80,3.74,3.83,3.90,4.29,3.72,4.65
Raw PDF,,,,,,,,,,,,,
