Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"12,091","14,048","16,312","17,378","21,837","35,756","38,694","46,240","53,576","43,098","46,637","51,839"
Expenses+,"9,728","11,700","13,346","13,966","18,024","28,984","30,342","36,711","43,380","38,801","39,509","42,761"
Operating Profit,"2,363","2,348","2,966","3,412","3,813","6,772","8,352","9,529","10,196","4,297","7,128","9,078"
OPM %,20%,17%,18%,20%,17%,19%,22%,21%,19%,10%,15%,18%
Other Income+,-11,149,363,351,-197,-515,62,91,464,231,78,724
Interest,517,704,735,783,963,"1,481","2,060","2,295","2,963","3,852","3,627","3,401"
Depreciation,425,676,672,675,880,"2,012","2,173","2,359","2,547","2,763","2,750","3,244"
Profit before tax,"1,410","1,117","1,922","2,305","1,773","2,764","4,181","4,966","5,150","-2,087",829,"3,157"
Tax %,17%,15%,10%,12%,11%,21%,16%,11%,14%,-10%,1%,30%
Net Profit+,"1,187",952,"1,733","2,030","1,575","2,178","3,495","4,437","4,414","-1,878",820,"2,220"
EPS in Rs,15.82,13.00,20.18,23.57,17.35,20.66,33.40,42.18,42.28,-14.21,10.62,22.78
Dividend Payout %,19%,23%,20%,20%,27%,26%,27%,21%,21%,-6%,53%,26%
