Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,903","2,968","3,440","3,324","2,936","3,032","3,415","3,374","3,144","3,371","4,001","3,737","3,603"
Expenses+,"2,549","2,579","2,693","2,616","2,534","2,423","2,662","2,615","2,752","2,632","3,080","2,909","3,086"
Operating Profit,353,389,747,708,402,609,753,759,391,739,921,828,517
OPM %,12%,13%,22%,21%,14%,20%,22%,23%,12%,22%,23%,22%,14%
Other Income+,-34,66,6,42,76,120,134,93,146,149,104,90,65
Interest,29,30,30,25,27,29,28,36,28,30,35,42,54
Depreciation,78,72,74,70,83,80,79,85,112,88,94,95,106
Profit before tax,212,353,648,655,367,619,780,731,396,771,896,781,423
Tax %,68%,18%,5%,8%,17%,11%,10%,12%,18%,13%,13%,16%,40%
Net Profit+,68,288,615,604,304,550,702,641,322,668,779,653,251
EPS in Rs,5.94,23.98,51.90,49.76,24.55,45.60,57.60,52.34,25.58,55.56,63.99,53.19,19.78
Raw PDF,,,,,,,,,,,,,
