Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,344","1,126","1,004",991,"1,122",698,609,677,729,814,726,693
Expenses+,"1,171","1,909",847,835,977,661,642,700,766,877,702,711
Operating Profit,173,-783,157,156,144,38,-33,-23,-37,-63,24,-18
OPM %,13%,-70%,16%,16%,13%,5%,-5%,-3%,-5%,-8%,3%,-3%
Other Income+,-669,723,52,19,21,148,547,-6,73,-199,23,87
Interest,211,175,93,87,84,90,85,10,9,10,8,4
Depreciation,229,203,14,9,2,14,15,14,23,27,28,20
Profit before tax,-937,-439,103,79,79,81,414,-54,4,-299,12,45
Tax %,4%,26%,8%,11%,14%,16%,6%,6%,69%,5%,-118%,22%
Net Profit+,-976,-552,94,71,68,68,391,-57,1,-314,25,35
EPS in Rs,-13.23,-7.04,0.65,0.36,0.34,0.34,1.98,-2.80,0.07,-15.16,1.22,1.71
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
