Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,851,"1,057","1,413","1,877","2,853","4,115","5,374","6,695"
Expenses+,880,"1,094","1,435","2,328","3,183","4,228","5,296","6,570"
Operating Profit,-29,-37,-22,-451,-330,-113,78,125
OPM %,-3%,-3%,-2%,-24%,-12%,-3%,1%,2%
Other Income+,0,0,0,281,374,224,160,2
Interest,3,4,6,0,0,0,0,0
Depreciation,16,21,22,27,32,29,25,0
Profit before tax,-48,-62,-50,-197,13,82,214,127
Tax %,0%,0%,0%,0%,0%,0%,0%,-3%
Net Profit+,-48,-62,-50,-197,13,82,214,131
EPS in Rs,,,,,,,1.17,0.71
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%
