Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,474","1,749","1,983","2,126","2,055","2,588","2,890","3,341","3,743","4,209","4,648","5,453"
Expenses+,968,"1,155","1,292","1,467","1,489","1,904","1,889","2,408","2,934","3,037","3,379","4,058"
Operating Profit,505,594,691,658,567,683,"1,001",933,808,"1,172","1,269","1,395"
OPM %,34%,34%,35%,31%,28%,26%,35%,28%,22%,28%,27%,26%
Other Income+,8,14,20,24,21,88,24,112,74,85,85,172
Interest,6,5,1,0,1,12,8,10,6,7,21,16
Depreciation,52,44,61,60,72,96,116,125,131,135,144,173
Profit before tax,456,559,648,623,514,664,900,909,745,"1,114","1,189","1,378"
Tax %,32%,26%,22%,25%,25%,30%,27%,22%,21%,27%,23%,23%
Net Profit+,310,416,507,469,387,468,654,713,588,816,920,"1,056"
EPS in Rs,23.47,31.49,38.40,35.50,29.56,35.73,50.38,55.63,45.89,63.70,73.68,84.52
Dividend Payout %,17%,17%,23%,0%,20%,24%,13%,11%,15%,79%,38%,33%
