Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,720","2,780","2,708","3,035","2,399","2,876","2,957","3,367","2,877","3,262","3,272","3,811","3,193"
Expenses+,"2,374","2,614","2,594","2,590","2,134","2,629","2,776","2,871","2,472","2,958","2,963","3,280","2,840"
Operating Profit,346,166,114,445,265,248,181,496,405,304,309,532,353
OPM %,13%,6%,4%,15%,11%,9%,6%,15%,14%,9%,9%,14%,11%
Other Income+,26,17,22,35,24,26,54,41,21,22,99,-26,78
Interest,12,25,15,15,32,29,38,43,43,44,43,49,40
Depreciation,71,72,74,77,80,86,101,109,114,112,119,134,138
Profit before tax,289,86,47,389,177,158,96,386,270,170,246,322,254
Tax %,35%,34%,32%,38%,33%,37%,34%,32%,34%,33%,35%,34%,-46%
Net Profit+,187,57,32,240,118,100,63,262,179,114,159,213,371
EPS in Rs,11.97,3.63,2.07,15.42,7.55,6.43,4.03,16.81,11.47,7.27,10.13,13.60,23.72
Raw PDF,,,,,,,,,,,,,
