Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"24,304","25,451","27,290","28,492","29,286","29,173","30,182","30,751","31,496","31,523","32,072","30,938","31,839"
Interest,"15,292","16,337","17,934","18,620","19,226","19,534","20,427","21,163","21,556","21,992","22,412","22,709","22,024"
Expenses+,"12,253","10,990","10,859","12,001","13,198","12,010","12,066","10,752","12,124","13,141","13,251","4,002","8,870"
Financing Profit,"-3,241","-1,876","-1,504","-2,129","-3,138","-2,371","-2,312","-1,165","-2,185","-3,610","-3,591","4,227",944
Financing Margin %,-13%,-7%,-6%,-7%,-11%,-8%,-8%,-4%,-7%,-11%,-11%,14%,3%
Other Income+,"7,470","6,809","6,602","7,138","8,098","7,793","7,824","6,679","8,761","8,086","9,942","2,152","4,700"
Depreciation,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Profit before tax,"4,229","4,933","5,098","5,009","4,960","5,422","5,513","5,515","6,576","4,475","6,351","6,379","5,644"
Tax %,24%,28%,28%,25%,24%,27%,26%,25%,22%,33%,23%,24%,22%
Net Profit+,"3,364","3,755","3,829","3,827","3,991","4,098","4,227","4,256","5,111","3,233","4,896","5,174","4,575"
EPS in Rs,3.68,4.12,4.19,4.18,4.36,4.48,4.62,4.65,5.59,3.52,5.35,5.79,5.04
Gross NPA %,5.35%,5.16%,4.76%,4.39%,4.23%,4.14%,3.73%,3.34%,2.94%,2.69%,2.35%,2.08%,1.84%
Net NPA %,1.73%,1.57%,1.41%,1.32%,1.27%,1.24%,0.99%,0.89%,0.70%,0.63%,0.54%,0.45%,0.43%
Raw PDF,,,,,,,,,,,,,
