Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"21,849","21,187","22,220","23,505","22,433","21,282","24,896","26,716","26,440","25,952","29,076","30,922","33,213"
Expenses+,"21,305","20,768","21,739","22,988","21,974","20,911","24,437","26,114","25,843","25,552","28,487","30,296","32,599"
Operating Profit,543,419,481,517,459,371,458,602,597,400,589,626,614
OPM %,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
Other Income+,46,64,76,45,79,53,57,48,696,50,43,37,-97
Interest,92,88,106,85,106,81,84,84,82,92,116,79,72
Depreciation,43,42,44,43,52,51,49,54,63,54,55,47,50
Profit before tax,455,352,408,434,381,292,381,513,"1,148",304,460,538,395
Tax %,28%,27%,24%,20%,15%,26%,26%,21%,20%,23%,24%,23%,27%
Net Profit+,328,255,312,348,324,217,283,403,918,233,350,413,288
EPS in Rs,3.97,3.18,3.88,4.36,4.16,3.15,3.75,5.12,8.51,3.52,4.96,5.57,5.01
Raw PDF,,,,,,,,,,,,,
