Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"44,253","43,075","44,983","42,820","47,628","48,529","44,706","45,069","49,834","47,065","44,786","45,846","49,688"
Expenses+,"32,311","30,664","32,303","31,458","33,638","35,091","33,041","31,729","35,080","34,485","31,970","31,276","41,181"
Operating Profit,"11,942","12,411","12,680","11,362","13,990","13,438","11,665","13,341","14,754","12,580","12,816","14,570","8,507"
OPM %,27%,29%,28%,27%,29%,28%,26%,30%,30%,27%,29%,32%,17%
Other Income+,"1,084",994,"1,024","2,532","1,400","1,187","3,218",986,"4,180","3,240","2,734","1,738","1,917"
Interest,"2,860","2,922","2,921","3,250","2,955","3,136","3,621","2,764","3,648","3,468","3,432","3,164","3,737"
Depreciation,"3,848","3,821","4,038","4,074","4,271","4,204","4,216","4,318","4,663","4,587","4,816","5,093","5,134"
Profit before tax,"6,318","6,661","6,746","6,571","8,164","7,284","7,046","7,245","10,623","7,765","7,301","8,050","1,553"
Tax %,23%,26%,30%,21%,20%,24%,24%,29%,26%,21%,28%,30%,-584%
Net Profit+,"4,872","4,907","4,726","5,209","6,490","5,506","5,380","5,170","7,897","6,108","5,225","5,597","10,615"
EPS in Rs,5.01,5.03,4.76,5.32,6.36,5.65,5.44,5.22,7.85,6.20,5.23,5.66,10.81
Raw PDF,,,,,,,,,,,,,
