Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"20,544","24,125","24,338","22,658","25,408","29,942","35,556","39,276","39,486","47,517","56,369","59,584"
Interest,"11,840","14,282","13,462","13,333","15,639","18,991","21,489","22,051","23,733","29,948","34,131","36,238"
Expenses+,"1,149","1,680","1,888","3,379","1,702","3,981","3,292","4,838","1,858",-366,"2,153","2,579"
Financing Profit,"7,555","8,162","8,988","5,946","8,066","6,969","10,776","12,387","13,894","17,936","20,084","20,767"
Financing Margin %,37%,34%,37%,26%,32%,23%,30%,32%,35%,38%,36%,35%
Other Income+,6,4,24,18,33,72,15,62,28,48,58,26
Depreciation,8,20,40,7,8,12,11,18,24,24,25,27
Profit before tax,"7,552","8,147","8,972","5,958","8,090","7,030","10,780","12,431","13,898","17,960","20,117","20,766"
Tax %,29%,30%,30%,25%,29%,29%,22%,19%,20%,21%,21%,21%
Net Profit+,"5,344","5,691","6,313","4,451","5,741","4,972","8,378","10,036","11,167","14,145","15,884","16,308"
EPS in Rs,20.30,21.61,23.98,16.90,21.80,18.88,31.82,38.11,42.41,53.72,60.32,61.93
Dividend Payout %,20%,30%,30%,41%,38%,44%,30%,30%,30%,30%,30%,30%
