Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,990","3,224","3,320","2,250","2,551","3,291","3,556","4,130","4,795","5,278","5,375","5,310"
Expenses+,"2,666","2,790","2,971","1,967","2,244","2,899","3,026","3,490","4,273","4,442","4,678","4,444"
Operating Profit,324,435,349,283,306,392,529,640,522,836,698,866
OPM %,11%,13%,10%,13%,12%,12%,15%,16%,11%,16%,13%,16%
Other Income+,35,16,47,87,100,43,19,66,22,104,108,24
Interest,26,17,14,8,11,16,13,13,19,20,23,20
Depreciation,85,69,83,40,50,83,80,77,82,85,86,80
Profit before tax,248,365,299,322,346,336,455,617,442,835,697,790
Tax %,5%,23%,20%,21%,16%,33%,29%,25%,25%,25%,26%,34%
Net Profit+,237,281,239,254,292,224,321,464,332,624,517,518
EPS in Rs,12.05,14.22,12.08,12.80,10.56,8.11,11.57,16.59,12.06,22.61,18.60,18.55
Dividend Payout %,9%,15%,17%,18%,19%,25%,30%,27%,29%,29%,35%,35%
