Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,709","4,445","3,405",465,"1,436",760,711,625,733,"1,746","3,557","4,397"
Expenses+,"2,284","3,711","2,863",548,"1,287",877,902,925,926,"1,484","2,800","3,506"
Operating Profit,425,734,542,-83,149,-116,-191,-300,-193,262,757,891
OPM %,16%,17%,16%,-18%,10%,-15%,-27%,-48%,-26%,15%,21%,20%
Other Income+,47,48,84,26,23,11,76,19,-65,46,134,172
Interest,62,98,155,171,169,244,255,283,327,240,169,200
Depreciation,20,35,44,52,66,80,88,89,98,113,182,204
Profit before tax,389,649,427,-280,-62,-430,-459,-653,-684,-45,539,659
Tax %,24%,29%,29%,-33%,-36%,-35%,-33%,-26%,4%,7%,19%,32%
Net Profit+,296,461,303,-188,-40,-279,-307,-483,-712,-48,438,449
EPS in Rs,3.14,4.88,3.21,-1.99,-0.42,-2.96,-3.24,-5.08,-5.11,-0.26,3.23,2.34
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
