Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"118,115","112,985","103,044","115,499","116,555","113,095","102,785","113,166","111,230","112,551","104,946","119,029","118,701"
Expenses+,"107,031","97,200","90,104","109,300","107,600","107,468","98,268","105,710","103,494","102,874","95,185","107,343","109,067"
Operating Profit,"11,085","15,785","12,941","6,199","8,955","5,627","4,517","7,456","7,737","9,678","9,761","11,687","9,634"
OPM %,9%,14%,13%,5%,8%,5%,4%,7%,7%,9%,9%,10%,8%
Other Income+,523,"1,003",911,919,403,807,"1,278",548,"1,061","1,840","1,375",687,940
Interest,"1,148","1,071","1,190",920,967,889,923,861,919,758,833,657,705
Depreciation,"1,605","1,614","1,605","1,830","1,722","1,686","1,779","1,810","1,982","1,889","1,958","1,979","2,031"
Profit before tax,"8,854","14,103","11,056","4,367","6,669","3,859","3,094","5,333","5,897","8,872","8,345","9,737","7,838"
Tax %,22%,25%,25%,27%,28%,26%,26%,29%,26%,23%,26%,26%,28%
Net Profit+,"6,870","10,644","8,244","3,181","4,790","2,842","2,297","3,806","4,392","6,839","6,191","7,188","5,625"
EPS in Rs,15.84,24.53,19.00,7.33,11.04,6.55,5.29,8.77,10.12,15.76,14.27,16.57,12.96
Raw PDF,,,,,,,,,,,,,
