Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,557","1,529","1,540","1,597","1,670","1,791","1,925","2,102","2,161","2,218","2,312","2,443","2,583"
Expenses+,"1,313","1,289","1,311","1,359","1,420","1,521","1,638","1,785","1,829","1,871","1,936","2,040","2,153"
Operating Profit,244,240,229,237,250,270,287,318,333,347,376,403,430
OPM %,16%,16%,15%,15%,15%,15%,15%,15%,15%,16%,16%,16%,17%
Other Income+,13,2,17,15,3,2,-3,7,2,7,1,-97,-2
Interest,21,25,26,25,27,32,34,39,43,43,43,43,52
Depreciation,64,61,65,66,67,73,79,84,91,97,110,111,116
Profit before tax,172,155,154,161,159,167,171,201,202,213,224,152,261
Tax %,18%,19%,18%,20%,16%,19%,19%,20%,20%,21%,20%,21%,21%
Net Profit+,141,126,127,129,134,135,138,160,161,169,180,120,205
EPS in Rs,2.02,1.79,1.80,1.83,1.90,1.92,1.96,2.27,2.27,2.39,2.54,1.70,2.90
Raw PDF,,,,,,,,,,,,,
