Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,778","3,338","3,177","3,053","3,570","3,464","3,424","3,491","4,313","3,819","3,640","3,713","4,615"
Expenses+,"2,846","2,642","2,551","2,487","2,874","2,861","2,886","2,872","3,356","2,989","2,866","2,933","3,589"
Operating Profit,932,696,626,566,696,603,538,620,957,830,774,780,"1,026"
OPM %,25%,21%,20%,19%,19%,17%,16%,18%,22%,22%,21%,21%,22%
Other Income+,22,12,29,19,23,25,33,40,34,29,26,-46,13
Interest,66,66,79,67,90,97,94,96,89,80,71,66,62
Depreciation,155,157,161,169,186,188,194,194,195,203,212,217,220
Profit before tax,733,486,415,348,443,344,284,369,707,576,517,452,757
Tax %,23%,26%,27%,27%,5%,27%,29%,26%,26%,25%,25%,4%,23%
Net Profit+,562,359,301,253,422,252,201,271,526,432,388,433,582
EPS in Rs,18.97,12.12,10.15,8.55,14.24,8.51,6.79,9.14,17.75,14.58,13.10,14.60,19.63
Raw PDF,,,,,,,,,,,,,
