Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,431","4,545","4,630","4,178","4,766","4,974","4,774","5,433","5,509","5,170","5,206","5,982","6,269"
Expenses+,"4,108","4,238","4,305","3,898","4,485","4,673","4,636","5,087","5,095","4,798","4,759","5,511","5,758"
Operating Profit,323,307,325,280,280,302,138,346,414,372,447,472,511
OPM %,7%,7%,7%,7%,6%,6%,3%,6%,8%,7%,9%,8%,8%
Other Income+,18,22,20,15,19,25,15,22,35,26,25,25,36
Interest,25,27,27,28,31,28,36,37,32,33,28,33,32
Depreciation,47,41,41,47,47,46,47,50,58,54,58,59,59
Profit before tax,269,261,277,219,221,252,70,280,359,310,386,404,457
Tax %,25%,26%,27%,24%,23%,23%,23%,23%,18%,23%,22%,23%,22%
Net Profit+,202,194,203,166,170,193,54,217,293,237,302,310,354
EPS in Rs,7.28,6.98,7.32,5.96,6.14,6.96,1.94,7.82,10.56,8.55,10.86,11.17,12.76
Raw PDF,,,,,,,,,,,,,
