Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,137,138,191,207,215,201,247,209,253,235,274,303,307
Expenses+,92,102,142,141,147,148,172,150,157,151,185,192,191
Operating Profit,45,36,49,67,67,53,76,60,96,83,89,112,116
OPM %,33%,26%,25%,32%,31%,26%,31%,28%,38%,36%,33%,37%,38%
Other Income+,2,2,3,3,2,5,2,2,2,3,10,5,7
Interest,6,7,10,11,12,13,15,16,22,21,21,21,26
Depreciation,1,1,2,2,2,2,2,2,3,3,4,3,10
Profit before tax,40,29,40,56,55,43,61,43,74,63,74,92,87
Tax %,25%,28%,25%,28%,29%,26%,23%,29%,28%,24%,24%,29%,22%
Net Profit+,30,21,30,40,39,32,46,31,54,48,56,66,68
EPS in Rs,1.52,1.08,1.48,1.98,1.93,1.48,2.31,1.47,2.59,2.19,2.69,2.56,2.71
Raw PDF,,,,,,,,,,,,,
