Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,302","1,422","1,507","1,789","1,668","1,746","1,875","2,267","2,062","2,155","2,346","2,873","2,648"
Expenses+,"1,231","1,348","1,426","1,690","1,575","1,650","1,771","2,126","1,928","2,014","2,187","2,644","2,425"
Operating Profit,71,73,81,99,93,96,104,141,133,141,159,230,223
OPM %,5%,5%,5%,6%,6%,6%,6%,6%,6%,7%,7%,8%,8%
Other Income+,10,7,9,8,7,7,5,6,9,9,7,-10,9
Interest,19,19,21,22,21,21,24,32,30,30,31,29,26
Depreciation,53,52,55,58,60,60,64,70,73,76,79,81,84
Profit before tax,9,10,13,26,20,22,21,45,40,44,55,110,122
Tax %,51%,34%,30%,31%,50%,36%,37%,39%,52%,44%,40%,38%,35%
Net Profit+,2,5,8,17,9,14,13,26,19,24,33,68,79
EPS in Rs,0.01,0.01,0.02,0.06,0.02,0.03,0.04,0.09,0.07,0.08,0.12,0.22,0.27
Raw PDF,,,,,,,,,,,,,
