Metric,Sep 2014,Mar 201618m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,123,200,144,150,191,220,226,260,313,320,305,307
Expenses+,124,178,125,124,155,170,181,209,252,260,262,278
Operating Profit,-1,22,18,25,36,50,45,51,62,60,43,29
OPM %,-1%,11%,13%,17%,19%,23%,20%,19%,20%,19%,14%,9%
Other Income+,19,5,5,6,4,4,3,5,3,3,5,1
Interest,7,13,8,6,7,13,10,8,9,7,6,5
Depreciation,9,11,8,9,13,20,22,25,28,22,22,20
Profit before tax,2,2,7,15,20,20,16,23,28,34,20,5
Tax %,24%,0%,9%,20%,-11%,29%,22%,31%,29%,29%,52%,28%
Net Profit+,2,2,6,12,22,14,12,16,20,24,10,3
EPS in Rs,0.85,0.97,2.75,5.31,9.77,6.30,5.42,7.05,8.70,10.37,4.18,1.45
Dividend Payout %,0%,0%,0%,0%,15%,19%,22%,26%,23%,21%,24%,69%
