Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,430","4,814","5,039","5,197","4,961","5,600","5,673","5,768","5,667","6,268","7,048","7,168","7,475"
Expenses+,"3,852","3,958","4,121","4,159","3,964","4,359","4,332","4,412","4,346","4,541","4,706","4,906","4,989"
Operating Profit,578,856,918,"1,038",997,"1,241","1,340","1,356","1,321","1,727","2,341","2,262","2,486"
OPM %,13%,18%,18%,20%,20%,22%,24%,24%,23%,28%,33%,32%,33%
Other Income+,37,23,40,29,29,68,42,54,57,79,90,-312,9
Interest,93,86,81,74,71,68,71,67,89,92,108,115,120
Depreciation,264,235,248,257,457,248,257,271,393,299,317,313,447
Profit before tax,258,559,630,736,498,993,"1,055","1,071",896,"1,416","2,007","1,522","1,928"
Tax %,6%,19%,21%,16%,26%,19%,19%,20%,13%,14%,26%,22%,24%
Net Profit+,242,453,495,619,368,806,859,859,782,"1,221","1,485","1,181","1,469"
EPS in Rs,5.19,9.94,10.76,13.47,7.89,17.58,18.69,18.74,16.92,26.69,32.36,25.73,31.94
Raw PDF,,,,,,,,,,,,,
