Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"18,662","17,737","16,012","16,740","20,419","18,819","16,294","17,779","23,063","21,275","19,607","21,830","25,799"
Expenses+,"15,340","14,688","13,461","13,485","16,305","15,801","14,269","14,885","18,456","16,869","16,518","17,919","20,201"
Operating Profit,"3,322","3,049","2,551","3,255","4,114","3,017","2,026","2,893","4,608","4,406","3,089","3,911","5,599"
OPM %,18%,17%,16%,19%,20%,16%,12%,16%,20%,21%,16%,18%,22%
Other Income+,123,177,171,146,73,83,226,247,93,142,174,46,77
Interest,191,211,234,262,261,326,393,457,475,433,459,492,487
Depreciation,762,749,798,783,815,918,980,993,"1,125","1,107","1,148","1,182","1,208"
Profit before tax,"2,492","2,267","1,690","2,355","3,111","1,857",879,"1,691","3,101","3,008","1,656","2,283","3,981"
Tax %,33%,25%,24%,25%,27%,20%,19%,19%,20%,26%,25%,24%,25%
Net Profit+,"1,670","1,690","1,280","1,775","2,259","1,493",708,"1,363","2,475","2,221","1,238","1,729","3,000"
EPS in Rs,57.71,58.49,44.39,61.55,78.22,51.78,24.34,47.09,84.23,75.54,41.79,58.55,101.22
Raw PDF,,,,,,,,,,,,,
