Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,270","1,335","1,369","1,378","1,574","1,933","1,955","2,151","2,095","2,261","2,340","2,429","2,499"
Expenses+,"1,052","1,100","1,091","1,098","1,262","1,553","1,558","1,749","1,703","1,823","1,864","1,945","2,015"
Operating Profit,218,235,277,280,311,380,396,402,392,438,476,484,485
OPM %,17%,18%,20%,20%,20%,20%,20%,19%,19%,19%,20%,20%,19%
Other Income+,20,9,42,20,196,14,25,6,5,19,102,-18,13
Interest,53,54,57,62,114,134,138,133,116,111,106,103,117
Depreciation,132,136,142,152,169,184,201,208,210,220,230,247,269
Profit before tax,53,54,121,86,224,77,82,67,71,126,242,116,111
Tax %,47%,47%,19%,23%,7%,24%,19%,35%,30%,25%,20%,37%,26%
Net Profit+,29,29,97,66,208,58,67,43,49,94,195,73,82
EPS in Rs,0.43,0.44,1.47,1.00,3.14,0.85,0.97,0.65,0.73,1.39,2.82,1.07,1.21
Raw PDF,,,,,,,,,,,,,
