Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,594,679,549,889,669,786,661,"1,027",780,885,807,"1,126",971
Expenses+,571,626,549,769,628,687,622,855,712,759,735,917,865
Operating Profit,23,52,1,120,40,99,39,171,68,126,72,210,106
OPM %,4%,8%,0%,13%,6%,13%,6%,17%,9%,14%,9%,19%,11%
Other Income+,8,2,2,13,4,5,2,3,27,3,3,2,6
Interest,34,33,36,38,36,37,39,42,17,18,17,21,19
Depreciation,48,50,53,58,61,57,59,63,54,68,71,78,80
Profit before tax,-52,-29,-86,37,-52,9,-58,70,23,43,-14,113,13
Tax %,-28%,-24%,-26%,23%,-25%,-30%,-3%,-3%,19%,22%,-35%,22%,10%
Net Profit+,-37,-22,-64,28,-39,12,-57,72,19,34,-9,88,11
EPS in Rs,-4.67,-2.77,-8.11,3.57,-4.92,1.53,-7.14,9.04,2.34,4.23,-1.12,11.08,1.42
Raw PDF,,,,,,,,,,,,,
