Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"8,031","9,056","9,933","10,114","9,942","10,314","11,302","11,035","11,542","12,210","14,051","14,756","15,053"
Expenses+,"6,982","7,852","8,588","8,639","8,487","8,884","9,678","9,402","9,638","10,407","11,941","12,488","12,881"
Operating Profit,"1,049","1,204","1,345","1,475","1,455","1,431","1,624","1,633","1,904","1,803","2,110","2,267","2,172"
OPM %,13%,13%,14%,15%,15%,14%,14%,15%,16%,15%,15%,15%,14%
Other Income+,67,87,51,12,-34,48,32,70,-57,40,-14,-60,7
Interest,398,437,483,494,511,500,509,536,551,551,552,561,566
Depreciation,232,227,237,242,263,241,259,258,292,315,320,323,315
Profit before tax,486,627,676,750,647,738,888,908,"1,004",977,"1,223","1,323","1,298"
Tax %,31%,30%,38%,32%,36%,34%,34%,33%,31%,34%,32%,33%,37%
Net Profit+,336,441,416,510,412,485,588,609,698,643,833,891,820
EPS in Rs,7.07,9.14,8.13,10.08,8.15,9.70,11.80,11.91,13.64,12.84,16.74,17.71,16.24
Raw PDF,,,,,,,,,,,,,
