Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"11,067","12,124","8,363","10,275","10,664","12,159","11,632","12,544","14,246","15,293","17,001","18,570"
Expenses+,"9,088","8,839","5,510","7,235","7,738","8,902","8,338","9,509","11,972","13,017","14,152","15,123"
Operating Profit,"1,979","3,285","2,854","3,040","2,926","3,257","3,293","3,035","2,274","2,276","2,849","3,447"
OPM %,18%,27%,34%,30%,27%,27%,28%,24%,16%,15%,17%,19%
Other Income+,153,116,475,454,"1,163",842,665,"1,013","1,584","2,000","1,618","1,260"
Interest,"1,045","1,593","1,482","1,411","1,432","1,484","1,340","1,248","1,241","1,377","1,479","1,360"
Depreciation,589,766,715,751,764,848,867,885,878,"1,217","1,205","1,228"
Profit before tax,498,"1,042","1,131","1,331","1,893","1,768","1,752","1,915","1,739","1,683","1,782","2,119"
Tax %,40%,30%,28%,27%,37%,26%,22%,27%,20%,14%,20%,24%
Net Profit+,299,729,810,975,"1,198","1,309","1,363","1,404","1,397","1,447","1,428","1,618"
EPS in Rs,1.50,4.51,5.21,6.88,8.93,9.56,10.04,10.25,10.13,10.38,10.33,11.63
Dividend Payout %,60%,22%,19%,18%,20%,21%,45%,44%,45%,44%,44%,52%
