Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"36,009","37,440","37,044","37,900","37,599","38,506","41,473","45,129","47,876","49,463","52,145","53,982","55,383"
Expenses+,"17,312","17,842","17,530","18,085","18,234","18,799","19,627","20,533","20,867","21,624","22,584","23,199","23,892"
Operating Profit,"18,697","19,598","19,514","19,815","19,365","19,708","21,846","24,597","27,009","27,839","29,561","30,783","31,492"
OPM %,52%,52%,53%,52%,52%,51%,53%,54%,56%,56%,57%,57%,57%
Other Income+,886,"-2,478",-654,"1,013","-1,308","2,010",475,"9,675",403,592,809,562,"-2,198"
Interest,"5,163","5,614","5,186","6,645","5,203","5,152","5,424","5,676","5,502","5,461","4,866","5,623","5,606"
Depreciation,"9,406","9,654","9,734","10,074","10,075","10,540","11,000","11,704","12,326","12,465","13,182","13,420","13,644"
Profit before tax,"5,014","1,853","3,940","4,108","2,778","6,025","5,897","16,892","9,584","10,504","12,322","12,301","10,045"
Tax %,16%,18%,47%,30%,26%,22%,30%,4%,-30%,29%,30%,31%,8%
Net Profit+,"4,226","1,520","2,093","2,876","2,068","4,718","4,153","16,135","12,476","7,422","8,651","8,503","9,247"
EPS in Rs,5.39,2.89,2.39,4.34,3.66,7.31,6.31,25.95,19.33,10.43,11.91,11.63,12.02
Raw PDF,,,,,,,,,,,,,
