Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,592,680,742,913,996,"1,062","1,179","1,453","2,077","2,065","2,349","3,314"
Expenses+,519,561,582,693,777,794,870,"1,098","1,527","1,666","1,816","2,232"
Operating Profit,72,118,159,220,219,268,309,356,550,399,534,"1,082"
OPM %,12%,17%,21%,24%,22%,25%,26%,24%,26%,19%,23%,33%
Other Income+,29,23,55,88,34,29,94,38,36,107,44,59
Interest,3,4,3,1,1,2,2,2,28,75,78,118
Depreciation,20,22,30,40,28,37,44,48,63,96,119,149
Profit before tax,78,116,182,266,224,258,358,344,496,336,380,873
Tax %,26%,28%,25%,32%,34%,-56%,31%,24%,24%,19%,24%,24%
Net Profit+,58,84,137,180,149,409,258,263,375,270,289,664
EPS in Rs,11.18,17.08,27.88,36.43,30.15,82.57,52.02,53.09,75.68,54.56,58.19,129.46
Dividend Payout %,29%,25%,23%,27%,26%,13%,21%,21%,16%,27%,12%,12%
