Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,732","1,682","1,738","1,801","1,868","1,911","2,098","2,251","2,289","2,263","2,317","2,360","2,414"
Expenses+,962,852,913,973,990,"1,035","1,096","1,099","1,121","1,102","1,109","1,105","1,146"
Operating Profit,770,830,826,828,878,876,"1,002","1,152","1,168","1,161","1,208","1,254","1,267"
OPM %,44%,49%,48%,46%,47%,46%,48%,51%,51%,51%,52%,53%,52%
Other Income+,44,80,-246,62,49,358,49,-61,48,48,61,28,53
Interest,149,154,156,169,166,162,175,180,171,154,151,147,149
Depreciation,395,414,432,433,460,496,536,532,531,527,554,567,565
Profit before tax,270,342,-8,288,301,577,340,379,513,527,564,569,606
Tax %,25%,26%,"2,322%",26%,26%,11%,25%,31%,9%,26%,25%,17%,26%
Net Profit+,202,253,-184,213,223,511,253,261,468,392,421,474,447
EPS in Rs,8.08,10.13,-7.36,4.25,4.45,10.22,5.06,5.22,9.37,7.83,8.42,9.47,8.93
Raw PDF,,,,,,,,,,,,,
