Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,013",527,560,817,"1,033","1,071","1,722","2,184","2,563","3,055","3,455","3,699"
Expenses+,965,509,515,718,902,916,"1,357","1,721","2,108","2,546","2,909","3,113"
Operating Profit,47,18,45,100,132,156,364,463,456,509,546,586
OPM %,5%,3%,8%,12%,13%,15%,21%,21%,18%,17%,16%,16%
Other Income+,14,15,12,21,25,17,28,36,64,12,30,40
Interest,1,0,4,6,6,4,8,8,25,44,42,32
Depreciation,37,16,15,19,17,25,45,43,67,90,75,73
Profit before tax,22,16,39,96,133,144,339,448,427,386,459,521
Tax %,20%,17%,17%,27%,24%,21%,26%,26%,27%,19%,18%,22%
Net Profit+,18,14,32,70,101,114,252,333,310,311,376,404
EPS in Rs,7.86,5.97,13.86,29.53,42.33,44.82,82.97,98.32,95.99,97.36,121.50,130.33
Dividend Payout %,32%,42%,25%,20%,20%,18%,17%,19%,20%,20%,19%,18%
