Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,512","1,585","2,034","2,053","2,033","2,093","2,355","2,245","2,247","2,309","2,556","2,392","2,388"
Expenses+,"1,331","1,278","1,673","1,722","1,711","1,700","1,913","1,782","1,818","1,892","2,012","1,859","1,905"
Operating Profit,181,308,361,331,322,393,441,463,429,416,545,533,484
OPM %,12%,19%,18%,16%,16%,19%,19%,21%,19%,18%,21%,22%,20%
Other Income+,36,45,-1,91,-118,21,26,20,-179,33,-30,38,48
Interest,18,31,44,33,29,24,23,17,22,19,20,18,20
Depreciation,70,69,90,100,98,99,100,98,100,100,103,108,107
Profit before tax,129,252,225,289,77,290,345,368,128,331,392,446,404
Tax %,37%,34%,39%,23%,96%,31%,29%,25%,49%,29%,28%,18%,24%
Net Profit+,78,164,136,221,1,199,246,276,64,233,281,364,307
EPS in Rs,3.02,6.42,5.72,7.09,2.35,7.58,9.05,9.78,2.67,9.19,11.14,12.86,11.79
Raw PDF,,,,,,,,,,,,,
