Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,506","1,283","1,363","1,370","1,625","1,384","1,370","1,397","1,681","1,361","1,577","1,542","2,088"
Expenses+,"1,199","1,082","1,143","1,165","1,334","1,169","1,160","1,178","1,380","1,176","1,321","1,304","1,706"
Operating Profit,307,202,220,205,291,214,210,219,302,185,257,237,383
OPM %,20%,16%,16%,15%,18%,16%,15%,16%,18%,14%,16%,15%,18%
Other Income+,12,12,13,6,10,12,9,12,9,9,11,-7,11
Interest,3,6,8,8,8,8,10,14,10,12,16,13,24
Depreciation,44,46,49,50,52,56,60,63,65,72,72,73,74
Profit before tax,272,162,177,154,241,163,149,154,236,110,180,144,297
Tax %,24%,26%,26%,26%,25%,27%,27%,27%,25%,28%,25%,25%,28%
Net Profit+,206,119,132,113,181,120,109,113,178,79,135,108,213
EPS in Rs,7.66,4.46,4.88,4.23,6.76,4.48,4.09,4.25,6.67,3.02,5.02,4.01,7.93
Raw PDF,,,,,,,,,,,,,
