Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"14,788","14,181","17,273","22,082","21,118","18,561","22,629","29,440","34,098","28,934","33,969","40,658"
Expenses+,"7,338","7,923","7,534","9,812","10,448","9,691","10,957","13,214","16,577","15,253","16,630","18,729"
Operating Profit,"7,450","6,258","9,739","12,270","10,670","8,870","11,672","16,226","17,521","13,681","17,339","21,929"
OPM %,50%,44%,56%,56%,51%,48%,52%,55%,51%,47%,51%,54%
Other Income+,"2,788","3,127","2,474","1,956","1,782","1,911","1,819","1,082","1,373","1,083",870,"1,102"
Interest,24,17,202,246,113,112,386,290,333,955,"1,111",880
Depreciation,644,745,"1,811","1,483","1,883","2,279","2,531","2,917","3,264","3,466","3,634","3,789"
Profit before tax,"9,570","8,623","10,200","12,497","10,456","8,390","10,574","14,101","15,297","10,343","13,464","18,362"
Tax %,15%,5%,18%,26%,24%,19%,25%,32%,31%,25%,24%,25%
Net Profit+,"8,178","8,175","8,316","9,276","7,956","6,805","7,980","9,630","10,520","7,787","10,279","13,712"
EPS in Rs,19.35,19.35,19.68,21.95,18.83,16.11,18.89,22.79,24.90,18.43,24.33,32.45
Dividend Payout %,23%,144%,149%,36%,106%,102%,113%,79%,303%,71%,119%,31%
