Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,31,152,124,51,57,142,142,4,16,145,154,58,40
Expenses+,8,9,10,6,8,12,9,9,9,11,10,10,10
Operating Profit,22,143,114,44,49,131,133,-5,7,134,144,48,30
OPM %,73%,94%,92%,87%,86%,92%,94%,-147%,45%,92%,93%,82%,74%
Other Income+,7,14,13,17,23,25,23,26,29,35,25,34,30
Interest,5,5,5,1,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,1,1,1,1,1
Profit before tax,24,152,122,60,72,156,156,21,36,168,167,81,58
Tax %,18%,3%,-1%,11%,16%,16%,21%,5%,-5%,13%,12%,7%,-10%
Net Profit+,20,148,124,53,60,131,124,20,38,146,148,75,64
EPS in Rs,0.40,2.90,2.46,1.05,1.20,2.59,2.44,0.39,0.75,2.89,2.93,1.49,1.26
Raw PDF,,,,,,,,,,,,,
