Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,732,748,888,988,"1,151","1,312","1,128","1,589","2,346","2,536","2,850","3,285"
Expenses+,711,656,896,769,"1,142","1,662","1,054","1,143","1,997","1,825","1,976","2,113"
Operating Profit,21,91,-9,219,9,-350,74,446,348,711,874,"1,172"
OPM %,3%,12%,-1%,22%,1%,-27%,7%,28%,15%,28%,31%,36%
Other Income+,89,111,50,401,737,286,"1,584","13,810",-116,303,"1,220","1,099"
Interest,4,3,4,5,7,14,11,11,18,35,36,27
Depreciation,47,24,33,30,22,48,45,45,73,101,113,123
Profit before tax,60,175,5,585,716,-126,"1,602","14,200",141,878,"1,945","2,121"
Tax %,124%,33%,935%,14%,17%,95%,12%,9%,150%,32%,33%,17%
Net Profit+,-14,118,-43,501,592,-246,"1,418","12,882",-70,595,"1,310","1,763"
EPS in Rs,0.40,2.24,-0.39,8.41,9.89,-3.88,22.00,198.16,-1.66,8.89,14.85,22.36
Dividend Payout %,150%,27%,-230%,13%,12%,-31%,7%,1%,-228%,49%,40%,38%
