Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,471","1,462","1,444","1,824","1,642","1,741","1,674","1,715","1,716","1,852","1,789","1,966","2,065"
Expenses+,820,841,886,955,908,894,923,"1,001",952,"1,006","1,034","1,146","1,009"
Operating Profit,651,622,558,868,734,847,751,714,765,846,755,820,"1,056"
OPM %,44%,42%,39%,48%,45%,49%,45%,42%,45%,46%,42%,42%,51%
Other Income+,61,101,65,94,82,48,105,70,82,72,66,60,71
Interest,8,-3,8,9,14,5,8,-3,-9,-4,8,7,-8
Depreciation,19,18,19,19,18,18,18,17,17,18,16,16,15
Profit before tax,686,707,596,934,785,873,829,770,839,905,797,857,"1,120"
Tax %,30%,29%,30%,21%,29%,29%,30%,30%,23%,29%,32%,29%,25%
Net Profit+,479,501,417,741,560,617,578,541,644,642,546,610,842
EPS in Rs,55.48,57.92,48.20,85.51,64.62,71.12,66.60,62.35,74.13,73.87,62.82,70.06,96.71
Raw PDF,,,,,,,,,,,,,
