Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"31,972","32,186","33,162","35,545","39,310","39,783","47,028","52,446","60,580","61,896","61,328","64,468"
Expenses+,"26,560","26,276","26,834","28,046","30,430","29,922","35,402","39,589","46,433","47,237","46,630","49,429"
Operating Profit,"5,412","5,910","6,328","7,499","8,880","9,861","11,626","12,857","14,147","14,659","14,698","15,039"
OPM %,17%,18%,19%,21%,23%,25%,25%,25%,23%,24%,24%,23%
Other Income+,"1,247",486,606,353,322,424,170,219,448,817,"1,355","4,923"
Interest,18,17,35,26,33,118,117,106,114,334,381,410
Depreciation,322,353,432,520,565,"1,002","1,074","1,091","1,137","1,216","1,253","1,333"
Profit before tax,"6,320","6,026","6,467","7,306","8,604","9,165","10,605","11,879","13,344","13,926","14,419","18,219"
Tax %,31%,31%,31%,28%,30%,26%,25%,25%,24%,26%,26%,17%
Net Profit+,"4,376","4,151","4,490","5,227","6,060","6,756","7,999","8,892","10,143","10,282","10,671","15,059"
EPS in Rs,20.17,19.18,20.68,24.09,27.97,31.17,34.03,37.79,43.07,43.74,45.32,64.01
Dividend Payout %,74%,83%,82%,83%,78%,80%,119%,90%,91%,96%,117%,64%
