Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,222,235,259,260,300,398,391,367,514,684,"1,113","2,302"
Expenses+,135,160,180,184,206,219,205,206,369,621,447,660
Operating Profit,88,75,80,76,94,178,185,161,145,63,665,"1,642"
OPM %,39%,32%,31%,29%,31%,45%,47%,44%,28%,9%,60%,71%
Other Income+,110,111,117,88,75,105,104,46,68,75,98,127
Interest,1,0,0,0,0,0,0,0,0,0,0,0
Depreciation,26,25,19,17,15,18,22,23,22,36,64,78
Profit before tax,170,162,178,147,154,265,267,184,191,102,699,"1,690"
Tax %,26%,29%,29%,26%,5%,11%,16%,22%,22%,18%,20%,21%
Net Profit+,126,115,127,108,146,236,225,143,149,83,560,"1,332"
EPS in Rs,4.93,4.50,4.96,4.25,5.73,9.27,8.83,5.63,5.84,3.26,21.96,52.22
Dividend Payout %,41%,29%,60%,80%,70%,65%,62%,62%,65%,47%,27%,15%
