Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,428","3,333","2,941","3,315","3,606","3,612","3,634","3,756","4,139","4,419","4,467","4,421","5,240"
Expenses+,"3,001","2,919","2,634","2,908","3,165","3,124","3,225","3,301","3,624","3,839","3,928","3,934","4,513"
Operating Profit,427,414,307,407,442,488,409,456,515,580,539,487,727
OPM %,12%,12%,10%,12%,12%,14%,11%,12%,12%,13%,12%,11%,14%
Other Income+,23,30,38,40,51,51,72,51,54,54,69,52,29
Interest,39,37,35,40,22,29,30,41,44,40,50,51,51
Depreciation,137,158,177,182,139,136,144,203,229,205,211,218,249
Profit before tax,275,249,133,226,332,374,307,263,297,389,347,270,456
Tax %,8%,19%,-261%,44%,34%,26%,30%,25%,26%,25%,25%,27%,32%
Net Profit+,254,202,482,126,220,276,216,197,220,291,260,198,312
EPS in Rs,10.05,8.00,18.98,4.99,7.76,9.89,7.72,7.08,7.84,10.47,9.38,7.07,11.43
Raw PDF,,,,,,,,,,,,,
