Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,447","1,224","1,433","1,709","1,560","1,436","1,621","1,895"
Expenses+,"1,279","1,139","1,317","1,469","1,237","1,169","1,336","1,530"
Operating Profit,168,84,116,240,323,268,285,365
OPM %,12%,7%,8%,14%,21%,19%,18%,19%
Other Income+,24,27,28,28,"-1,444",34,67,22
Interest,110,109,116,114,102,100,87,89
Depreciation,74,77,81,79,78,80,81,84
Profit before tax,8,-75,-53,76,"-1,302",121,184,215
Tax %,394%,2%,51%,79%,5%,38%,29%,-68%
Net Profit+,-24,-76,-80,16,"-1,366",75,131,362
EPS in Rs,-0.15,-0.63,-0.68,0.34,-13.31,0.63,1.04,2.72
Raw PDF,,,,,,,,
