Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,389,395,410,436,453,459,483,493,502,510,534,543,600
Expenses+,265,269,273,293,308,307,318,331,334,332,345,353,396
Operating Profit,124,127,137,142,145,152,165,162,168,178,189,190,204
OPM %,32%,32%,34%,33%,32%,33%,34%,33%,33%,35%,35%,35%,34%
Other Income+,11,12,21,17,17,19,21,31,26,23,30,34,28
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,11,11,12,14,16,16,17,16,17,16,18,19,19
Profit before tax,124,127,146,145,146,154,168,177,177,184,201,204,213
Tax %,18%,18%,20%,18%,17%,19%,22%,21%,18%,18%,20%,19%,19%
Net Profit+,101,104,116,120,121,125,131,140,145,151,160,166,173
EPS in Rs,13.45,13.62,15.13,15.43,16.01,16.31,17.21,18.28,18.76,20.10,20.32,21.56,22.38
Raw PDF,,,,,,,,,,,,,
