Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,671,724,799,"1,911","2,223","2,423","2,643","3,060","3,511","2,833","3,090","3,186"
Expenses+,614,635,698,"1,691","1,932","2,088","2,155","2,458","2,843","2,358","2,467","2,521"
Operating Profit,57,89,101,219,291,335,488,603,668,474,623,665
OPM %,8%,12%,13%,11%,13%,14%,18%,20%,19%,17%,20%,21%
Other Income+,8,26,10,31,-0,-20,19,36,45,96,119,131
Interest,1,1,1,5,5,7,7,8,6,5,6,7
Depreciation,6,7,7,24,28,41,47,45,52,61,63,63
Profit before tax,58,107,103,221,258,267,453,586,655,503,674,727
Tax %,40%,40%,40%,34%,35%,23%,24%,26%,23%,27%,26%,25%
Net Profit+,35,65,62,145,167,206,345,434,503,370,502,543
EPS in Rs,,,,,,4.12,6.92,8.69,10.09,7.41,10.06,10.88
Dividend Payout %,0%,0%,0%,0%,38%,18%,12%,12%,12%,80%,12%,12%
