Metric,Mar 20156m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,0,"3,649","8,533","8,930","11,948","16,308","15,968","17,173","22,728","30,322","36,501","40,549"
Interest,0,"2,802","6,515","7,132","8,749","10,232","8,588","7,467","10,092","13,872","17,210","19,334"
Expenses+,3,494,"1,425","1,725","4,534","9,871","8,786","12,380","13,410","17,979","23,593","27,256"
Financing Profit,-3,353,592,73,"-1,335","-3,795","-1,406","-2,674",-775,"-1,528","-4,301","-6,040"
Financing Margin %,,10%,7%,1%,-11%,-23%,-9%,-16%,-3%,-5%,-12%,-15%
Other Income+,0,403,"1,013","1,118",852,"1,722","2,211","3,222","4,467","6,002","7,022","7,873"
Depreciation,0,41,134,163,"2,813",305,329,373,425,618,820,0
Profit before tax,-3,716,"1,471","1,027","-3,295","-2,379",476,175,"3,267","3,855","1,900","1,833"
Tax %,0%,35%,31%,16%,-41%,20%,5%,17%,25%,23%,20%,11%
Net Profit+,-3,467,"1,020",859,"-1,944","-2,864",452,145,"2,437","2,957","1,525","1,636"
EPS in Rs,-516.00,1.38,3.00,2.52,-4.07,-5.95,0.80,0.23,3.68,4.18,2.08,1.90
Dividend Payout %,0%,18%,25%,30%,0%,0%,0%,0%,0%,0%,12%,13%
