Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,112","1,984","2,438","2,046","2,170","2,130","2,001","1,979","2,184","1,825","1,969","2,280","2,025"
Expenses+,"1,960","1,825","2,105","1,837","1,960","1,860","1,678","1,658","1,886","1,586","1,810","2,024","2,280"
Operating Profit,152,159,333,209,210,270,323,321,298,239,159,256,-255
OPM %,7%,8%,14%,10%,10%,13%,16%,16%,14%,13%,8%,11%,-13%
Other Income+,-199,-113,-55,-27,-11,-17,45,-46,36,25,26,9,76
Interest,40,23,23,18,7,6,8,11,8,8,13,9,15
Depreciation,83,79,77,76,77,76,73,66,64,59,57,54,47
Profit before tax,-170,-57,177,87,115,172,286,198,262,197,115,202,-241
Tax %,15%,-6%,31%,33%,88%,31%,27%,17%,28%,27%,34%,23%,-57%
Net Profit+,-196,-53,123,58,13,118,209,164,188,144,76,155,-104
EPS in Rs,-2.04,-0.56,1.28,0.61,0.14,1.23,2.18,1.70,1.96,1.50,0.80,1.62,-1.08
Raw PDF,,,,,,,,,,,,,
