Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,816","2,494","2,679","2,228","2,645","2,703","2,485","2,417","2,938","2,579","3,072","4,528"
Expenses+,372,431,480,524,606,590,619,623,665,737,849,"1,236"
Operating Profit,"2,443","2,063","2,199","1,705","2,039","2,112","1,867","1,794","2,273","1,843","2,223","3,293"
OPM %,87%,83%,82%,76%,77%,78%,75%,74%,77%,71%,72%,73%
Other Income+,309,541,411,409,397,587,425,195,310,380,308,195
Interest,65,218,55,101,251,344,42,226,449,482,743,"1,298"
Depreciation,641,677,680,365,390,384,393,404,396,557,676,"1,042"
Profit before tax,"2,047","1,709","1,875","1,648","1,795","1,972","1,856","1,360","1,738","1,183","1,112","1,147"
Tax %,18%,17%,18%,26%,24%,21%,11%,27%,22%,23%,26%,44%
Net Profit+,"1,677","1,411","1,545","1,225","1,367","1,567","1,646",990,"1,359",911,818,642
EPS in Rs,4.05,3.41,3.73,3.12,3.47,3.99,4.19,2.52,3.46,2.32,2.09,1.63
Dividend Payout %,26%,32%,74%,122%,62%,55%,53%,68%,51%,78%,70%,92%
