Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,656","1,414","1,454","1,732","1,773","1,851","1,628","1,843","1,949","1,675","2,100","2,318","2,205"
Expenses+,"1,403","1,214","1,221","1,473","1,489","1,546","1,431","1,612","1,687","1,463","1,809","1,997","1,864"
Operating Profit,253,200,233,259,284,305,197,231,262,212,291,321,341
OPM %,15%,14%,16%,15%,16%,16%,12%,13%,13%,13%,14%,14%,15%
Other Income+,0,0,0,8,-1,6,7,5,3,4,22,-13,1
Interest,33,40,58,54,59,64,62,85,64,60,100,69,112
Depreciation,84,89,93,97,98,102,108,111,113,114,120,121,119
Profit before tax,136,71,82,116,126,145,34,40,88,42,93,118,111
Tax %,-10%,1%,-11%,-7%,-5%,6%,-53%,-15%,-9%,-2%,-14%,-13%,-23%
Net Profit+,149,70,91,124,132,137,52,46,96,43,106,133,137
EPS in Rs,4.11,1.93,2.51,3.42,3.64,3.78,1.43,1.27,2.65,1.19,2.92,3.67,3.78
Raw PDF,,,,,,,,,,,,,
