Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,796,"1,046","1,158","1,250",875,"1,088","1,360","1,589","1,573","1,486","1,289","1,829","1,787"
Expenses+,644,794,934,"1,022",685,819,"1,083","1,228","1,304","1,149",975,"1,449","1,235"
Operating Profit,152,253,224,228,191,270,277,361,269,338,314,380,553
OPM %,19%,24%,19%,18%,22%,25%,20%,23%,17%,23%,24%,21%,31%
Other Income+,44,53,38,87,114,40,94,80,136,141,101,94,152
Interest,9,7,7,6,4,3,3,3,4,3,3,3,3
Depreciation,37,37,36,36,28,27,27,28,42,28,29,31,33
Profit before tax,149,262,219,272,273,280,341,411,359,448,383,440,669
Tax %,26%,16%,25%,22%,21%,18%,27%,23%,22%,20%,20%,22%,22%
Net Profit+,147,254,202,212,215,229,248,316,280,356,305,343,521
EPS in Rs,9.43,16.31,12.95,13.61,13.73,14.65,15.92,20.25,17.90,22.84,19.56,22.01,33.43
Raw PDF,,,,,,,,,,,,,
