Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales+,"3,392","3,298","3,370","3,584","3,905","3,877","2,997","4,192","4,774","5,075","5,365","5,722","5,845"
Expenses+,"2,675","2,397","2,369","2,551","2,834","2,723","2,183","3,125","3,663","3,877","4,086","4,374","4,475"
Operating Profit,718,901,"1,001","1,033","1,071","1,154",814,"1,067","1,111","1,198","1,278","1,348","1,369"
OPM %,21%,27%,30%,29%,27%,30%,27%,25%,23%,24%,24%,24%,23%
Other Income+,47,90,86,84,84,64,62,47,67,83,88,45,36
Interest,2,1,1,1,1,1,4,2,4,8,9,9,9
Depreciation,36,39,45,46,56,70,87,83,81,92,100,101,104
Profit before tax,726,951,"1,040","1,070","1,098","1,147",785,"1,029","1,093","1,181","1,258","1,282","1,293"
Tax %,35%,35%,36%,35%,36%,28%,26%,26%,25%,27%,26%,26%,
Net Profit+,475,615,670,692,708,827,583,758,815,864,927,950,959
EPS in Rs,4.80,6.22,6.78,6.99,7.16,8.36,5.89,7.66,8.24,8.74,9.37,9.60,9.69
Dividend Payout %,78%,72%,81%,100%,70%,66%,93%,72%,79%,86%,149%,91%,
