Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,924,994,"1,039","1,238","1,046","1,069","1,115","1,379","1,064","1,161","1,257","1,416","1,210"
Expenses+,769,822,878,"1,020",880,926,965,"1,134",894,990,"1,086","1,198","1,026"
Operating Profit,155,172,161,217,167,143,150,246,170,172,170,218,184
OPM %,17%,17%,15%,18%,16%,13%,13%,18%,16%,15%,14%,15%,15%
Other Income+,23,7,6,3,33,4,8,23,20,10,10,6,7
Interest,55,54,55,59,58,61,65,65,70,73,73,72,72
Depreciation,104,105,108,111,112,117,122,130,125,129,134,133,144
Profit before tax,18,20,3,51,30,-32,-29,73,-5,-21,-27,20,-25
Tax %,21%,27%,22%,28%,23%,-28%,-28%,28%,-137%,-25%,-25%,18%,-34%
Net Profit+,14,14,3,37,23,-23,-21,52,2,-16,-20,16,-16
EPS in Rs,1.30,1.32,0.25,3.35,2.11,-2.07,-1.87,4.75,0.18,-1.43,-1.83,1.46,-1.48
Raw PDF,,,,,,,,,,,,,
