Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,599","5,589","5,386","4,349","2,643","4,933","4,346","4,918","2,449","5,698","6,413","5,898","2,785"
Expenses+,"3,491","4,956","4,771","3,720","2,477","4,181","3,556","4,140","2,285","4,937","5,571","5,078","2,530"
Operating Profit,108,633,615,628,166,752,790,778,163,761,842,821,255
OPM %,3%,11%,11%,14%,6%,15%,18%,16%,7%,13%,13%,14%,9%
Other Income+,41,14,90,151,73,86,80,95,86,79,88,36,53
Interest,67,55,46,36,36,40,1,7,0,2,1,1,3
Depreciation,76,77,78,79,78,82,83,83,82,84,87,88,90
Profit before tax,6,516,581,664,126,716,786,783,168,754,842,768,215
Tax %,"-1,371%",34%,34%,31%,23%,37%,32%,32%,22%,27%,23%,24%,21%
Net Profit+,94,339,381,459,97,448,536,534,130,549,649,586,169
EPS in Rs,2.26,8.14,9.15,11.04,2.42,11.19,13.39,13.34,3.25,13.70,16.19,14.64,4.22
Raw PDF,,,,,,,,,,,,,
