Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,228,277,370,425,275,311,457,484
Expenses+,162,163,184,198,173,175,222,219
Operating Profit,66,114,187,227,101,136,235,266
OPM %,29%,41%,50%,53%,37%,44%,51%,55%
Other Income+,12,23,33,38,27,23,7,10
Interest,119,122,117,99,86,38,39,40
Depreciation,38,39,31,31,26,27,29,30
Profit before tax,-79,-25,71,135,16,93,174,206
Tax %,-5%,107%,21%,13%,45%,20%,15%,17%
Net Profit+,-75,-51,56,117,9,75,148,172
EPS in Rs,,,,4.25,0.26,2.24,4.43,5.14
Raw PDF,,,,,,,,
