Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,294","1,334","1,183","1,264","1,325","1,398","1,288","1,354","1,422","1,497","1,363","1,440","1,545"
Expenses+,"1,003","1,024",914,935,"1,032","1,075","1,002",978,"1,115","1,147","1,040","1,072","1,216"
Operating Profit,291,310,269,329,294,322,286,376,307,350,323,368,329
OPM %,22%,23%,23%,26%,22%,23%,22%,28%,22%,23%,24%,26%,21%
Other Income+,22,19,20,22,24,20,21,23,32,9,12,-9,23
Interest,2,1,2,2,2,3,2,3,2,3,2,2,2
Depreciation,23,22,23,25,24,26,25,25,25,27,25,24,28
Profit before tax,288,305,264,324,292,314,280,371,313,330,308,332,323
Tax %,30%,26%,26%,25%,26%,26%,26%,27%,25%,26%,26%,26%,25%
Net Profit+,202,225,194,242,216,232,207,271,233,244,228,245,242
EPS in Rs,2.05,2.28,1.97,2.45,2.19,2.35,2.10,2.74,2.36,2.47,2.30,2.47,2.45
Raw PDF,,,,,,,,,,,,,
