Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,613,648,735,841,929,949,"1,053","1,034","1,120","1,123","1,135","1,104","1,269"
Expenses+,378,357,375,396,464,457,488,453,545,511,541,497,641
Operating Profit,235,290,360,445,465,493,565,582,575,612,593,607,629
OPM %,38%,45%,49%,53%,50%,52%,54%,56%,51%,54%,52%,55%,50%
Other Income+,7,4,3,2,0,7,4,1,9,3,8,2,20
Interest,99,119,147,171,183,183,200,225,215,240,237,242,258
Depreciation,31,22,24,45,45,20,21,24,29,24,25,27,36
Profit before tax,112,153,191,231,237,297,347,334,340,351,339,340,355
Tax %,24%,19%,24%,24%,24%,26%,26%,25%,25%,25%,25%,25%,24%
Net Profit+,85,123,145,176,181,221,257,252,255,264,254,254,269
EPS in Rs,,7.02,8.28,10.01,10.24,12.49,14.43,14.05,14.20,14.66,14.09,13.96,14.79
Raw PDF,,,,,,,,,,,,,
