Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"5,800","5,269","5,517","8,031","7,998","5,110","2,964","5,484","6,973","8,046","9,909","12,418"
Expenses+,"5,511","5,181","5,645","7,893","7,699","5,079","2,848","4,837","5,967","6,904","8,589","10,793"
Operating Profit,289,88,-128,138,299,31,116,647,"1,005","1,142","1,319","1,625"
OPM %,5%,2%,-2%,2%,4%,1%,4%,12%,14%,14%,13%,13%
Other Income+,72,-230,-5,-73,-116,-861,"1,655",569,286,684,162,211
Interest,105,80,186,426,432,365,206,82,28,17,21,12
Depreciation,245,172,143,252,225,211,138,99,94,95,112,196
Profit before tax,12,-394,-463,-613,-475,"-1,407","1,427","1,035","1,169","1,715","1,348","1,628"
Tax %,-88%,17%,6%,17%,7%,-5%,10%,12%,18%,17%,28%,26%
Net Profit+,22,-461,-491,-715,-507,"-1,331","1,280",913,963,"1,428",973,"1,199"
EPS in Rs,0.37,-7.33,-7.83,-11.47,-8.03,-21.12,9.68,6.33,6.30,9.34,6.37,7.66
Dividend Payout %,214%,0%,0%,0%,0%,0%,0%,0%,24%,14%,20%,17%
