Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,249,261,275,290,310,331,365,370,356,354,377,390,395
Expenses+,140,151,153,160,167,182,195,197,197,200,209,211,213
Operating Profit,109,110,122,129,143,150,170,173,159,154,168,179,183
OPM %,44%,42%,44%,45%,46%,45%,47%,47%,45%,43%,44%,46%,46%
Other Income+,8,10,10,10,11,12,13,15,13,13,12,13,13
Interest,2,2,2,2,2,2,2,2,2,2,2,2,2
Depreciation,16,16,17,18,18,17,18,20,23,21,25,25,28
Profit before tax,99,101,112,119,135,142,162,166,148,144,153,165,166
Tax %,25%,25%,25%,25%,23%,25%,26%,25%,24%,25%,26%,24%,24%
Net Profit+,74,76,84,89,103,107,121,124,113,108,114,125,125
EPS in Rs,3.05,3.11,3.44,3.63,4.21,4.40,4.97,5.08,4.61,4.41,4.64,5.07,5.10
Raw PDF,,,,,,,,,,,,,
