Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"8,468","7,594","6,130","8,116","10,073","9,440","10,457","13,938","16,911","18,590","21,778","22,528"
Expenses+,"7,713","6,798","5,315","7,083","8,885","8,373","8,868","12,163","15,290","16,709","19,603","20,286"
Operating Profit,755,796,815,"1,033","1,189","1,067","1,589","1,775","1,621","1,881","2,175","2,241"
OPM %,9%,10%,13%,13%,12%,11%,15%,13%,10%,10%,10%,10%
Other Income+,48,949,42,97,124,106,187,159,178,249,288,479
Interest,96,91,13,25,16,51,90,67,55,84,72,79
Depreciation,139,134,121,140,149,218,249,261,296,338,400,432
Profit before tax,569,"1,520",723,965,"1,147",904,"1,438","1,607","1,447","1,707","1,990","2,210"
Tax %,32%,14%,32%,31%,31%,19%,27%,26%,26%,26%,26%,24%
Net Profit+,385,"1,300",494,661,788,735,"1,044","1,196","1,072","1,271","1,470","1,689"
EPS in Rs,6.17,20.82,7.91,10.60,12.59,11.75,16.68,19.10,17.11,20.28,23.48,26.95
Dividend Payout %,49%,29%,44%,4%,36%,34%,39%,39%,44%,44%,43%,37%
