Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,469,510,579,527,667,763,937,951,"1,191","1,559","1,477","2,023"
Expenses+,402,430,472,477,608,661,790,807,918,"1,096","1,146","1,448"
Operating Profit,67,80,106,51,58,102,147,144,273,463,331,574
OPM %,14%,16%,18%,10%,9%,13%,16%,15%,23%,30%,22%,28%
Other Income+,0,2,1,4,3,4,16,0,9,12,90,30
Interest,27,24,21,19,16,22,18,14,13,14,8,24
Depreciation,15,16,19,22,26,31,40,49,53,60,66,92
Profit before tax,25,42,67,14,20,53,105,82,216,401,346,489
Tax %,36%,36%,30%,13%,19%,69%,23%,22%,24%,25%,25%,26%
Net Profit+,16,27,47,12,16,16,81,64,164,300,260,364
EPS in Rs,17.96,30.75,52.74,13.57,12.81,12.63,62.85,49.74,127.45,233.89,202.74,283.71
Dividend Payout %,8%,7%,0%,0%,0%,16%,8%,10%,8%,6%,6%,12%
