Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,619,619,668,639,681,645,782,686,767,707,811,790,792
Expenses+,485,476,530,483,519,470,591,503,542,496,603,542,515
Operating Profit,134,144,138,157,161,176,190,183,226,210,208,248,277
OPM %,22%,23%,21%,25%,24%,27%,24%,27%,29%,30%,26%,31%,35%
Other Income+,12,5,9,7,6,5,7,9,12,7,9,8,5
Interest,1,3,1,4,4,4,1,4,3,1,4,4,3
Depreciation,22,22,20,21,21,21,19,21,25,20,20,19,19
Profit before tax,123,124,125,139,143,155,177,167,210,195,193,232,260
Tax %,16%,26%,26%,25%,31%,25%,25%,25%,24%,25%,25%,26%,26%
Net Profit+,103,92,93,104,99,116,133,126,159,146,144,172,193
EPS in Rs,31.52,28.16,28.45,31.90,30.41,35.59,40.82,38.66,48.70,44.71,44.08,52.93,59.08
Raw PDF,,,,,,,,,,,,,
