Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,254","2,321","2,412","2,498","2,591","2,737","2,897","3,062","3,242","3,334","3,581","3,778","4,056"
Expenses+,"1,838","1,947","2,007","2,056","2,136","2,282","2,416","2,524","2,658","2,722","2,898","3,045","3,288"
Operating Profit,416,374,405,442,454,455,481,538,584,612,683,733,768
OPM %,18%,16%,17%,18%,18%,17%,17%,18%,18%,18%,19%,19%,19%
Other Income+,9,22,37,38,31,31,47,43,18,55,52,-49,33
Interest,15,13,12,12,10,14,18,16,18,17,18,19,19
Depreciation,70,76,74,79,80,71,74,82,79,94,100,101,109
Profit before tax,341,307,356,389,395,401,435,482,505,555,617,565,674
Tax %,26%,25%,26%,26%,20%,24%,25%,23%,22%,23%,24%,22%,21%
Net Profit+,252,229,263,286,315,306,325,373,396,425,471,439,529
EPS in Rs,16.45,14.86,17.11,18.59,20.47,19.89,21.02,24.12,25.59,27.17,30.15,27.86,33.55
Raw PDF,,,,,,,,,,,,,
