Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,240","2,477","2,476","2,422","2,278","2,643","2,664","2,794","2,730","3,259","3,482","3,537","3,333"
Expenses+,"1,847","1,903","1,979","1,909","1,836","2,017","2,142","2,261","2,272","2,604","2,922","2,945","2,812"
Operating Profit,393,574,497,513,442,626,522,533,458,655,560,592,521
OPM %,18%,23%,20%,21%,19%,24%,20%,19%,17%,20%,16%,17%,16%
Other Income+,68,46,38,43,15,37,82,42,47,56,49,39,60
Interest,17,17,20,19,17,17,11,13,12,10,12,14,17
Depreciation,43,36,39,42,41,41,41,44,52,45,47,50,60
Profit before tax,401,567,476,495,399,605,552,518,441,656,550,567,504
Tax %,24%,23%,24%,22%,20%,22%,22%,22%,22%,22%,21%,19%,19%
Net Profit+,305,436,360,386,320,474,433,406,345,513,432,460,408
EPS in Rs,2.34,3.30,2.73,2.96,2.46,3.58,3.27,3.08,2.65,3.89,3.24,3.44,3.01
Raw PDF,,,,,,,,,,,,,
